City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
60,Jamestown,US,42.097,-79.2353,64.09,96,90,8.01,mist,2021-10-09 15:21:05
61,Port Alfred,ZA,-33.5906,26.891,65.21,71,1,25.61,clear sky,2021-10-09 15:23:50
62,Lagunas,PE,-5.2269,-75.6753,92.93,45,27,3.58,scattered clouds,2021-10-09 15:27:34
63,Vinces,EC,-1.55,-79.7333,80.49,49,24,1.59,few clouds,2021-10-09 15:27:35
64,Ushuaia,AR,-54.8,-68.3,46.06,61,75,14.97,light rain,2021-10-09 15:23:54
65,Saint-Philippe,RE,-21.3585,55.7679,71.22,83,52,14.2,light rain,2021-10-09 15:24:38
66,Mataura,NZ,-46.1927,168.8643,42.48,98,42,3.09,scattered clouds,2021-10-09 15:23:47
67,Iskateley,RU,67.6803,53.1512,31.96,77,97,8.84,overcast clouds,2021-10-09 15:27:36
68,Kapaa,US,22.0752,-159.319,76.12,77,90,7.0,light rain,2021-10-09 15:24:33
69,Labuan,MY,5.2767,115.2417,84.11,89,20,0.0,heavy intensity rain,2021-10-09 15:27:37
70,Henties Bay,NA,-22.116,14.2845,60.85,66,7,11.16,clear sky,2021-10-09 15:26:02
71,Bima,ID,-8.4667,118.7167,78.08,80,91,5.91,overcast clouds,2021-10-09 15:26:23
72,Mezen,RU,65.8522,44.24,35.02,83,100,0.54,overcast clouds,2021-10-09 15:27:38
73,Buraydah,SA,26.326,43.975,95.45,12,0,9.4,clear sky,2021-10-09 15:27:38
74,Mitsamiouli,KM,-11.3847,43.2844,80.89,65,40,20.71,light rain,2021-10-09 15:27:39
75,Tasiilaq,GL,65.6145,-37.6368,35.76,69,93,5.91,overcast clouds,2021-10-09 15:25:24
76,Little Current,CA,45.9793,-81.9248,64.49,96,100,10.83,overcast clouds,2021-10-09 15:27:40
77,Tabuk,PH,17.4189,121.4443,74.77,89,29,4.36,scattered clouds,2021-10-09 15:27:40
78,Hilo,US,19.7297,-155.09,71.33,94,90,4.61,moderate rain,2021-10-09 15:21:02
79,Noumea,NC,-22.2763,166.4572,64.38,73,32,9.28,scattered clouds,2021-10-09 15:27:40
80,Pirai,BR,-22.6292,-43.8981,72.48,86,100,3.2,overcast clouds,2021-10-09 15:27:41
81,Narsaq,GL,60.9167,-46.05,37.62,50,4,3.51,clear sky,2021-10-09 15:24:57
82,Seydi,TM,39.4816,62.9137,50.36,37,23,9.15,few clouds,2021-10-09 15:27:41
83,Bilma,NE,18.6853,12.9164,96.89,10,8,1.16,clear sky,2021-10-09 15:27:42
84,Brae,GB,60.3964,-1.353,55.31,98,100,14.67,overcast clouds,2021-10-09 15:27:42
85,Almaty,KZ,43.25,76.95,46.31,53,75,4.47,heavy intensity rain,2021-10-09 15:22:59
86,Luena,AO,-11.7833,19.9167,92.19,16,11,9.15,few clouds,2021-10-09 15:27:43
87,Adeje,ES,28.1227,-16.726,76.3,59,20,24.16,few clouds,2021-10-09 15:27:46
88,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,64,90,12.66,overcast clouds,2021-10-09 15:24:34
89,Santa Cruz,BO,-17.8,-63.1667,95.05,46,40,16.11,scattered clouds,2021-10-09 15:27:47
90,Yellowknife,CA,62.456,-114.3525,42.42,100,90,1.01,overcast clouds,2021-10-09 15:22:29
91,Castro,BR,-24.7911,-50.0119,57.79,96,100,7.2,overcast clouds,2021-10-09 15:22:38
92,Samarai,PG,-10.6167,150.6667,79.12,84,88,17.25,overcast clouds,2021-10-09 15:25:47
93,Touros,BR,-5.1989,-35.4608,88.7,56,70,16.51,broken clouds,2021-10-09 15:25:37
